,train_loss,validate_loss,validate_accuracy
0,0.5918401766732719,2.6909938217256624,16.439999999999998
1,0.44305409569889975,0.4808287740844328,82.64
2,0.4058552375205541,0.46224267086742393,83.91999999999999
3,0.38112657393310334,0.43479794225446966,84.39999999999999
4,0.3643944836730311,0.4061953885948912,85.82
5,0.3505249468277942,0.39398526295221625,86.28
6,0.33974130978595063,0.41453469565159623,84.74000000000001
7,0.3291964115046495,0.3853158329021091,86.32
8,0.3211354361786669,0.38082695774627234,86.46000000000001
9,0.3140398480474167,0.3703253020776026,86.86
10,0.3079374907709461,0.3629464583152935,87.1
11,0.30132764004432144,0.36496532209730387,86.92999999999999
12,0.2961598442297788,0.3552681787836135,87.53999999999999
13,0.291406133173614,0.3692677280700539,86.87
14,0.2855453076891136,0.35385212965150475,87.51
15,0.28078517456723034,0.3578368015834476,87.18
16,0.2774020340798057,0.3561508033435359,87.47
17,0.2729512206150186,0.3579168991714453,87.06
18,0.26944753263984467,0.35749740251817985,87.13
19,0.2652692101028754,0.3542150765428326,87.22999999999999
20,0.26158686852546476,0.3647811362968238,87.01
21,0.258354014772106,0.34964462766917553,87.92999999999999
22,0.25599347248106347,0.34871071521998687,87.66000000000001
23,0.2528225609836332,0.3496955694937668,87.7
24,0.24856968971073365,0.3511440426818613,87.72999999999999
25,0.24685460402361323,0.3555996628038462,87.38
26,0.24398877320105242,0.34646961260569376,87.7
27,0.24020807782741274,0.3498118643707561,87.72
28,0.23848698121640555,0.3499223189366865,87.96000000000001
29,0.23570780548841747,0.34685674726043547,87.9
