,train_loss,validate_loss,validate_accuracy
0,0.7170792086785641,2.9238989431836044,9.8
1,0.3299354501391665,0.34729446260010055,90.08
2,0.28387638215176364,0.2966548228027415,91.7
3,0.2513005946885549,0.2545545241840521,92.78
4,0.2232924453230542,0.22955959027682502,93.26
5,0.19867005134588012,0.21057572427866994,93.99
6,0.17861470385667072,0.1885947278655536,94.46
7,0.16157149519004665,0.17124210152465513,94.89
8,0.14665629493029217,0.15705066426231912,95.19
9,0.13407495820774587,0.1461038151580831,95.67
10,0.12298258376633228,0.13430003702668522,95.84
11,0.11416366038249828,0.12952367408663384,96.0
12,0.10544136400889723,0.12126214838410986,96.32
13,0.0984599109456796,0.11951470138798424,96.28999999999999
14,0.09189143729464627,0.11277953076777503,96.61999999999999
15,0.08602937627127595,0.10792020890942379,96.78
16,0.08067084795853367,0.10147088749925354,96.85000000000001
17,0.07585836119399582,0.09916416647154673,96.83
18,0.07131029555047974,0.09899880875178475,96.93
19,0.06702373773626286,0.09588346069194044,97.02
20,0.06373431441877749,0.09207989517595898,97.22
21,0.06037263843274609,0.09129529802486398,97.18
22,0.056683494625036954,0.08885461695578345,97.19
23,0.0541504780172559,0.08758361277501732,97.24000000000001
24,0.05131785633575457,0.0840086338637378,97.22
25,0.04867932395409652,0.08247129282637063,97.27
26,0.04604661904868639,0.08044980221999436,97.43
27,0.04394070904032918,0.08243428324274046,97.33000000000001
28,0.04161034225114125,0.07831378923249575,97.41
29,0.03965216831813515,0.0811382575418703,97.45
