,train_loss,validate_loss,validate_accuracy
0,0.8516537201018148,2.730170118410047,4.7
1,0.575107862732516,0.639957247632609,78.10000000000001
2,0.5311977168931985,0.5708760456966403,80.53
3,0.5115373969602095,0.5395823992301975,82.0
4,0.5012093833469948,0.5285844165647285,81.95
5,0.49454147564913875,0.5195708865929713,82.46
6,0.4899144027168073,0.5130532719976716,82.64
7,0.48660916262422366,0.513174925767087,82.53
8,0.48415470228107194,0.510689487274237,83.07
9,0.4817846718295709,0.5048873761191217,83.28
10,0.48053362769206825,0.5054376897945108,83.19
11,0.4793314619842024,0.5049683636511573,82.99
12,0.4779375596145795,0.5043925214304219,83.38
13,0.47752167065198065,0.5019765675165819,83.32000000000001
14,0.477047902538681,0.5066659405079916,82.67
15,0.47588578726141495,0.500734406161908,83.48
16,0.4756940483634719,0.5104930089119523,82.78999999999999
17,0.4753059221549531,0.5026413725884938,83.28999999999999
18,0.47432195358057927,0.5003512051361838,83.26
19,0.47384391271696724,0.4997597951246278,83.25
20,0.4739152802133539,0.502817842340095,82.99
21,0.4729367315177847,0.5030207593009851,82.99
22,0.47350900515460037,0.5064441992317437,82.64
23,0.47195925132309186,0.49563903735299375,83.39999999999999
24,0.4722293518159313,0.4954565522873424,83.27
25,0.4720134725236856,0.5014806070265788,83.16
26,0.47156726243425684,0.5012631686269248,83.23
27,0.4719965617727131,0.49502326573313693,83.58
28,0.47072486104723843,0.4940897689816033,83.56
29,0.47145346895596163,0.4998676376068325,83.06
